accx_avg,accy_avg,accz_avg,gyrox_avg,gyroy_avg,gyroz_avg,magx_avg,magy_avg,magz_avg,accx_std,accy_std,accz_std,gyrox_std,gyroy_std,gyroz_std,magx_std,magy_std,magz_std,accx_max,accy_max,accz_max,gyrox_max,gyroy_max,gyroz_max,magx_max,magy_max,magz_max,accx_min,accy_min,accz_min,gyrox_min,gyroy_min,gyroz_min,magx_min,magy_min,magz_min,class
-0.697611,0.714069,0.161005,-0.11491,-0.707692,0.125671,0.70775,56.829,-76.701,0.0195534,0.0385648,0.0116636,6.02413,5.43087,4.83584,0.314728,0.53668,0.286484,0.751007,0.786713,0.184631,12.7892,12.773,10.8664,1.4031,57.9363,77.1412,0.660461,0.629578,0.130402,0.20668,0.0895121,0.453929,0.0584624,55.4224,76.0889,resting
-0.69515,0.712081,0.164518,0.349333,-0.546631,-0.257208,0.597026,57.0505,-76.8072,0.0200326,0.0420907,0.0131612,7.07161,6.11286,5.12436,0.427073,0.520753,0.416262,0.758301,0.807159,0.188904,17.9342,14.7505,11.6211,1.34464,57.8778,77.5504,0.659729,0.63205,0.138092,0.36418,0.277988,0.121428,0,55.7439,75.9135,resting
-0.696231,0.709112,0.164022,0.67494,-0.412465,0.15961,0.748496,57.0655,-76.328,0.0189478,0.0393675,0.0108422,6.60179,5.31601,4.94734,0.423596,0.477115,0.312724,0.759125,0.803101,0.180542,14.6967,14.0855,10.7286,1.69541,57.9363,77.0243,0.66153,0.649994,0.14621,0.12582,0.492012,0.103928,0.0876937,56.1532,75.6796,resting
-0.699128,0.705924,0.161128,0.562515,-0.261329,-0.0668286,0.620942,57.2082,-76.4255,0.0184175,0.0398475,0.0110817,6.77275,5.24885,4.92097,0.497843,0.685095,0.381202,0.755829,0.805115,0.180176,16.1842,11.1105,12.3561,1.75387,58.3455,77.375,0.673035,0.629517,0.134521,0.10832,0.032988,0.0885716,0,55.6855,75.6504,resting
-0.701057,0.701501,0.160176,0.773047,-0.904585,0.0588532,0.0540334,57.2285,-76.4777,0.0197066,0.0385243,0.0135903,7.05558,6.27168,4.7725,0.328839,0.585325,0.35058,0.760193,0.791473,0.189484,16.5342,14.173,10.2036,0.701549,58.1994,77.1704,0.66806,0.62616,0.129089,0.0491803,0.124512,0.0185716,0,55.1008,75.7673,resting
-0.704903,0.70574,0.157046,0.772517,-1.0064,-0.13842,-0.0487186,57.2764,-76.6062,0.0194604,0.0480464,0.0119115,7.07403,5.66053,5.52232,0.509748,0.586081,0.456186,0.754791,0.800446,0.177765,16.1317,12.318,12.2161,1.05232,58.1409,77.4335,0.677826,0.625519,0.120636,0.0558197,0.697988,0.173928,0.0292312,56.1824,75.7965,resting
-0.704693,0.696795,0.159166,1.27153,-0.599131,0.215293,-0.216134,57.0576,-76.3767,0.021412,0.0388753,0.011545,7.03542,6.29831,4.86351,0.457792,0.670179,0.38499,0.761902,0.770538,0.187134,17.2692,14.138,8.94357,1.28617,58.1409,76.995,0.655518,0.626129,0.137665,0.54582,0.107012,0.158572,0,55.247,75.5627,resting
-0.701927,0.705538,0.158597,0.941152,-0.531782,0.341503,0.22322,57.3401,-76.646,0.0197994,0.0413269,0.0118217,6.94903,6.06949,5.54084,0.383824,0.470125,0.398002,0.750458,0.798767,0.18045,16.7267,14.3305,12.8461,0.935399,58.1117,77.5504,0.671753,0.640961,0.134094,0.19582,0.295488,0.0164284,0.0292312,56.007,76.0012,resting
-0.708659,0.701932,0.156507,0.589562,-0.803827,-0.380769,-0.0983232,57.147,-76.5955,0.0188531,0.044759,0.015715,7.36357,6.59705,5.3474,0.445226,0.660253,0.315045,0.764069,0.802948,0.196991,15.0642,17.988,12.5836,0.876937,58.4332,77.375,0.682587,0.631958,0.125549,1.35082,0.067988,0.0535716,0,55.1593,75.855,resting
-0.704131,0.703897,0.15805,0.946985,-0.484585,0.10658,0.422524,57.0221,-76.7382,0.0231015,0.0398076,0.0116961,6.82047,6.07812,5.22564,0.46715,0.575027,0.382871,0.767273,0.800079,0.182159,17.0417,14.8205,14.0361,1.25694,57.9655,77.1704,0.666504,0.635345,0.132965,0.82582,0.457012,0.0689284,0,55.8024,75.6212,resting
