accx,accy,accz,gyrox,gyroy,gyroz,magx,magy,magz,timestamp
-0.0903495,0.131731,-0.975656,0.789921,-0.164844,0.0517963,5.84624,61.9702,-63.6364,01:04:51 
-0.0899353,0.13031,-0.975464,-0.0825788,-0.0448438,0.00929636,5.72932,62.8764,-63.2856,01:04:51 
-0.0910034,0.129791,-0.975616,-0.170079,0.0776563,0.00929633,5.37854,62.3502,-63.2271,01:04:51 
-0.0899048,0.129333,-0.975647,-0.100079,-0.0623438,-0.00820366,5.70009,61.8533,-63.6364,01:04:51 
-0.0904846,0.130615,-0.974762,-0.0475789,0.0601563,0.0442964,5.64163,61.5902,-63.081,01:04:51 
-0.0905762,0.128754,-0.975189,-0.012579,-0.0448438,0.0442964,5.55393,62.321,-63.2271,01:04:51 
-0.0895386,0.129486,-0.975983,0.0617982,-0.00929663,-0.00218809,6.08009,62.5256,-63.5779,01:04:51 
-0.0897522,0.128784,-0.974609,0.0267981,-0.114297,-0.0546881,5.87547,62.6133,-63.2564,01:04:51 
-0.0894775,0.130157,-0.974548,0.00929809,-0.0267966,-0.00218812,5.55393,61.9994,-63.0517,01:04:51 
-0.0892639,0.130707,-0.975189,-0.0524979,0.0918752,-0.0246101,5.75855,61.7363,-63.0517,01:04:51 
-0.0902405,0.13089,-0.976013,0.0875023,-0.0131248,0.01039,5.75855,62.8179,-62.7887,01:04:52 
-0.0904236,0.129425,-0.975586,0.122502,-0.0656248,-0.02461,6.10932,61.6486,-63.1394,01:04:52 
-0.0899963,0.132111,-0.974304,0.157913,0.0239261,0.0633002,5.55393,62.1456,-63.1687,01:04:52 
-0.0912476,0.129761,-0.974854,0.0180495,0.0596098,-0.0415631,5.61239,61.5317,-62.6425,01:04:52 
-0.0902405,0.130554,-0.972961,-0.0519505,-0.0103903,0.0634369,5.5247,61.7656,-62.3502,01:04:52 
-0.0906372,0.130615,-0.974731,0.0705496,-0.0978903,0.0634369,5.93394,62.0286,-63.0225,01:04:52 
-0.0910339,0.13089,-0.97406,-0.0432005,-0.0355466,0.0453901,5.72932,62.6133,-62.3502,01:04:52 
-0.091217,0.131226,-0.974976,0.1668,-0.000546545,0.0628901,5.67086,62.4379,-62.5548,01:04:52 
-0.0920105,0.130157,-0.970978,-0.0257005,-0.0180466,-0.0246099,5.78778,61.9117,-62.7887,01:04:52 
-0.0899048,0.131744,-0.973694,0.10008,-0.00656209,0.0229683,5.70009,61.9117,-63.3441,01:04:52 
-0.0904236,0.132446,-0.973907,-0.0399202,0.0459379,-0.0120317,5.26162,62.2333,-62.5256,01:04:52 
-0.0910339,0.130981,-0.973328,0.0300797,0.0109379,0.0404683,6.19702,62.3794,-63.1394,01:04:52 
-0.0896912,0.130554,-0.97348,-0.148203,0.0590627,0.0727341,5.70009,61.7656,-63.2564,01:04:52 
-0.09021,0.130554,-0.974854,-0.0782027,0.0240627,0.0552341,5.43701,62.8179,-62.7887,01:04:52 
-0.0910034,0.129974,-0.972809,-0.0257028,0.0415627,0.0377341,5.37854,62.6133,-63.9579,01:04:52 
-0.0911255,0.130768,-0.974182,-0.0607027,-0.115937,0.0202341,5.34931,62.6133,-62.9933,01:04:52 
-0.0895386,0.131409,-0.972748,0.0322656,0.00875017,-0.00218779,4.99854,62.8179,-63.1394,01:04:52 
-0.0900879,0.130676,-0.973358,-0.0377344,0.0437502,0.0678122,5.93394,61.9117,-63.0517,01:04:52 
-0.0910645,0.131165,-0.972595,0.102266,0.13125,-0.0371878,6.10932,63.0225,-62.4963,01:04:52 
-0.0905457,0.130585,-0.972931,-0.0710935,0.0267972,0.0114844,5.37854,62.3502,-63.081,01:04:52 
-0.0895996,0.130005,-0.973663,0.103906,-0.0607028,-0.0235156,5.37854,62.584,-63.0225,01:04:52 
-0.0896606,0.130707,-0.973236,0.0689065,-0.0257028,-0.0235156,5.49547,62.4379,-62.7594,01:04:52 
-0.0902405,0.131104,-0.973267,-0.00546766,-0.0803902,-0.103907,5.057,61.7656,-62.4963,01:04:52 
-0.0903625,0.130554,-0.9729,0.0295324,-0.0103902,-0.0164065,5.55393,61.7948,-63.1102,01:04:52 
-0.0908203,0.131012,-0.973724,0.0645324,0.00710982,0.00109354,5.5247,62.4379,-62.7887,01:04:52 
-0.0908203,0.12973,-0.972076,-0.109921,-0.00765574,0.0464842,5.93394,61.824,-63.4317,01:04:52 
-0.0910034,0.131317,-0.972351,-0.00492072,0.0273443,-0.146016,5.057,62.1748,-63.1102,01:04:52 
-0.0898132,0.130341,-0.972412,-0.0224207,-0.00765577,-0.0235158,5.49547,62.9348,-62.964,01:04:52 
-0.0905762,0.131256,-0.973114,-0.0574209,-0.0426558,0.0639842,5.43701,60.5671,-63.0225,01:04:52 
-0.0911255,0.13089,-0.973389,0.0388287,0.0311724,0.00164032,5.5247,63.2564,-63.1687,01:04:52 
-0.090332,0.130951,-0.972168,-0.118671,-0.0563276,-0.0158597,5.11546,61.9702,-63.4317,01:04:52 
-0.0910034,0.13089,-0.971161,0.0388287,-0.0213276,0.10664,5.46624,62.4963,-63.1394,01:04:52 
-0.0916443,0.129974,-0.971832,-0.0470306,-0.0667181,-0.067266,5.64163,62.8764,-63.4902,01:04:53 
-0.0900574,0.130341,-0.972351,0.0229694,0.0207819,-0.067266,5.37854,62.2625,-62.8179,01:04:53 
-0.0895081,0.130402,-0.972443,-0.0120306,0.073282,0.00273404,5.72932,62.7887,-62.6425,01:04:53 
-0.0913086,0.130676,-0.97345,-0.00109267,-0.0453899,-0.00382856,5.87547,62.6425,-62.5548,01:04:53 
-0.0913696,0.130859,-0.97168,0.0514074,-0.0453899,-0.0913286,5.75855,62.6133,-62.9933,01:04:53 
-0.0897827,0.13089,-0.97403,-0.0885928,-0.0278899,0.0836715,6.19702,61.5317,-62.6717,01:04:53 
-0.0913696,0.130554,-0.971863,0.0164073,-0.11539,0.0311715,5.46624,63.1979,-62.8764,01:04:53 
-0.09021,0.13031,-0.972076,-0.150937,0.0557818,0.0667184,5.75855,61.824,-62.4379,01:04:53 
-0.0908203,0.130493,-0.973389,-0.0459366,0.0032818,-0.108282,5.67086,61.7071,-62.701,01:04:53 
-0.0905457,0.130768,-0.972382,0.00656343,-0.0317182,0.0492184,6.02163,62.6133,-63.0225,01:04:53 
-0.0899658,0.13269,-0.970947,-0.0765605,0.0869534,-0.0672661,5.75855,61.8533,-62.8764,01:04:53 
-0.0914612,0.130524,-0.973358,0.0634394,0.0169534,0.0727339,5.70009,62.0286,-62.9056,01:04:53 
-0.09021,0.131317,-0.972534,0.185939,-0.0705466,0.0552339,5.84624,61.1809,-62.204,01:04:53 
-0.0899658,0.130463,-0.971283,-0.0497642,-0.0503122,-0.0842193,5.78778,62.4963,-62.3794,01:04:53 
-0.0891113,0.131012,-0.973419,0.0377358,-0.0153121,0.0207807,5.61239,63.1102,-62.7887,01:04:53 
-0.0907593,0.130432,-0.973328,-0.224764,0.0196878,0.0032807,6.19702,62.2625,-62.8179,01:04:53 
-0.0905457,0.130127,-0.971954,-0.0658968,-0.0150388,0.00218698,5.55393,62.4379,-62.584,01:04:53 
-0.0892029,0.13092,-0.973999,0.0432053,0.0732816,-0.106094,5.78778,63.081,-62.7594,01:04:53 
-0.0898438,0.131165,-0.973022,0.0257051,0.0382816,0.0164057,5.87547,62.6425,-62.9348,01:04:53 
-0.0909424,0.13147,-0.971222,-0.00929487,-0.0142184,-0.0185943,5.34931,63.1687,-62.6717,01:04:53 
-0.0904541,0.13031,-0.971863,0.0262507,-0.0639839,0.01914,5.81701,61.7656,-63.1687,01:04:53 
-0.0900574,0.131592,-0.972443,0.0437507,0.0235161,0.0891401,5.81701,62.584,-62.5256,01:04:53 
-0.0898438,0.129974,-0.972809,0.148751,-0.0814839,-0.12086,6.28471,62.0871,-62.0579,01:04:53 
-0.0903015,0.130219,-0.9729,-0.0771085,0.0175007,0.0289838,5.93394,61.7656,-63.1102,01:04:53 
-0.0915833,0.131104,-0.972321,-0.147108,0.0175007,0.0114838,5.9924,62.6133,-62.964,01:04:53 
-0.0906067,0.132751,-0.973114,-0.0596085,6.25924e-07,0.0464838,5.70009,61.5025,-62.7594,01:04:53 
-0.0906982,0.132019,-0.9729,0.0393758,0.0207819,0.0273432,5.5247,62.3502,-62.7594,01:04:53 
-0.0905762,0.130615,-0.973572,0.179376,-0.0492182,0.114843,6.22625,62.8764,-62.5256,01:04:53 
-0.0904541,0.131317,-0.972992,-0.118124,0.0382819,0.0448432,6.19702,62.2625,-62.4379,01:04:53 
-0.0900269,0.131561,-0.973816,-0.0307608,0.0564654,-0.0270709,5.93394,62.3502,-62.5548,01:04:53 
-0.09021,0.130615,-0.974213,0.0388293,0.0235159,-0.0503131,5.78778,61.6194,-62.6133,01:04:54 
-0.090332,0.130554,-0.972961,0.0563294,-0.0289841,-0.0503131,6.05086,62.5256,-62.6133,01:04:54 
-0.0902405,0.130096,-0.971497,-0.0136708,0.0410159,-0.015313,5.96317,62.0579,-62.964,01:04:54 
-0.0907593,0.131134,-0.970734,0.100626,0.0689065,-0.0399223,6.16779,61.9994,-63.1687,01:04:54 
-0.0917969,0.131134,-0.972382,-0.0218742,-0.0710935,0.0300777,6.16779,61.9702,-62.4963,01:04:54 
-0.0907288,0.131195,-0.973267,0.0306259,0.0339066,-0.0574223,6.57702,61.941,-63.1394,01:04:54 
-0.091095,0.130371,-0.972961,0.0399233,0.00218797,-0.0169536,6.08009,62.321,-62.584,01:04:54 
-0.0908203,0.129486,-0.9729,0.0574233,0.037188,-0.0344536,5.14469,63.1979,-62.701,01:04:54 
-0.0903625,0.130676,-0.973694,0.0224232,0.072188,0.000546425,5.87547,61.9994,-63.1394,01:04:54 
-0.0916443,0.130005,-0.970154,0.0741025,0.119493,-0.0330866,5.34931,61.9117,-63.1979,01:04:54 
-0.0904541,0.130157,-0.972443,-0.0667179,-0.0607029,0.0382805,5.67086,62.204,-62.7302,01:04:54 
-0.0914917,0.130737,-0.972046,0.0732819,-0.130703,0.00328049,5.75855,61.7656,-62.4963,01:04:54 
-0.0913696,0.130249,-0.971039,0.0556452,-0.0931053,0.0165422,5.43701,62.3502,-62.9933,01:04:54 
-0.0905762,0.130371,-0.971252,-0.119765,-0.0153121,0.00382737,5.75855,60.7425,-62.4963,01:04:54 
-0.089447,0.132172,-0.972931,-0.084765,0.0196879,0.00382737,5.55393,62.0871,-62.2917,01:04:54 
-0.0900879,0.131653,-0.973633,0.090235,0.0371879,-0.101173,5.32008,61.6779,-62.7887,01:04:54 
-0.090271,0.131409,-0.971893,-0.0962501,-0.0831248,0.0437492,5.61239,62.2625,-62.5548,01:04:54 
-0.090332,0.130341,-0.972412,0.0612499,0.0568752,0.00874919,5.70009,62.5256,-62.5548,01:04:54 
-0.0917358,0.130035,-0.97226,0.00874984,-0.0131248,0.00874916,5.90471,62.3794,-62.8179,01:04:54 
-0.0900879,0.131073,-0.973663,-0.11539,0.000547142,0.0360932,5.61239,62.3502,-62.9056,01:04:54 
-0.0911865,0.13089,-0.971924,-0.0978901,0.000547142,0.0185932,6.02163,62.9348,-62.6133,01:04:54 
-0.0905457,0.131592,-0.973541,-0.06289,-0.0869529,-0.121407,5.23239,61.444,-62.8179,01:04:54 
-0.0911865,0.130707,-0.97171,0.0522272,-0.0541403,-0.0453912,5.58316,62.321,-62.584,01:04:54 
-0.090332,0.130524,-0.971069,-0.0776559,-0.0563278,-0.00437561,6.10932,62.6717,-62.9348,01:04:54 
-0.0906372,0.131439,-0.972321,0.0798441,-0.161328,-0.0568756,5.67086,62.3794,-63.3148,01:04:54 
